team,date,elo
Syria,2025-12-11,1551.7533490524834
Angola,2025-12-29,1551.2559508477768
Corsica,2017-05-26,1548.3914771963182
Thailand,2025-11-18,1546.881935271851
Réunion,2023-09-02,1545.9017410161534
County of Nice,2015-06-21,1545.313218720897
Bahrain,2025-12-09,1544.1595145438323
Kárpátalja,2018-06-09,1542.7909912843159
China PR,2026-03-31,1542.3406040030216
Ellan Vannin,2018-06-03,1540.4207514482462
Yorkshire,2019-06-01,1537.9920706678797
Galicia,2016-05-20,1533.1940824064739
Palestine,2025-12-11,1532.2658464648866
Curaçao,2026-03-31,1532.0271350483208
Artsakh,2019-06-08,1531.7938846444188
New Caledonia,2026-03-26,1530.0958453353098
Suriname,2026-03-26,1528.5846237844712
Bulgaria,2026-03-30,1527.4724608677056
Guinea,2026-03-31,1527.2470401828311
Arameans Suryoye,2014-06-08,1522.3753782545227
Menorca,2023-07-13,1522.3165423123262
Panjab,2019-12-29,1522.3038793417977
Brittany,2013-05-28,1522.1764748382725
Maule Sur,2022-06-19,1519.4167345713752
Cascadia,2019-05-25,1519.2717108919421
Malaysia,2025-11-18,1518.3360122971467
Zambia,2026-03-31,1516.8158712231275
Benin,2026-03-31,1516.807720437877
Gabon,2026-03-30,1515.5690809049916
Trinidad and Tobago,2026-03-30,1514.709791116561
Montenegro,2026-03-31,1512.7025961735767
Canary Islands,2007-12-29,1512.5403136250645
Tahiti,2025-03-21,1512.4651716314595
Libya,2026-03-31,1511.2713100441401
Belarus,2026-03-29,1511.0759735782924
Biafra,2022-05-25,1510.5826504693891
Asturias,1923-02-25,1510.56675634087
Chameria,2023-07-01,1509.5119560309295
Surrey,2018-05-06,1509.3933510960533
Parishes of Jersey,2019-06-02,1509.354420615618
Silesia,2006-12-09,1508.5970323870313
Elba Island,2022-07-16,1507.5572882154331
Vietnam,2026-03-26,1507.3900445836398
Crimea,2006-11-25,1505.585025494562
Franconia,2019-06-25,1504.7633775380582
Donetsk PR,2017-08-31,1503.1306870586552
Felvidék,2017-06-09,1502.3474564068683
Central Spain,1923-11-25,1500.55049469111
Mapuche,2022-06-18,1500.28774368332
Matabeleland,2022-05-25,1499.9812297076444
Tamil Eelam,2023-08-08,1499.3557069930487
Saugeais,2013-06-29,1499.1177053116282
Délvidék,2016-08-03,1498.350285646902
United Koreans in Japan,2018-06-09,1498.1337840611484
West Papua,2022-11-13,1497.3448634145773
Uganda,2025-12-30,1497.3221588633887
Åland Islands,2023-07-13,1495.2023619512534
Sealand,2014-08-10,1494.951874617144
Gambia,2026-03-31,1493.759685158035
Western Sahara,2012-06-09,1492.2741123102962
Madrid,2013-06-07,1492.1383996137722
Kuwait,2025-12-09,1491.7076039335325
Cilento,2011-12-29,1490.3656284065187
Luhansk PR,2019-12-08,1489.8616652535518
Ryūkyū,2016-11-26,1489.810829928561
Yoruba Nation,2022-05-23,1489.720432724456
Somaliland,2019-05-04,1489.5899539080547
Seborga,2014-08-10,1489.554348638833
Indonesia,2026-03-30,1489.2947296642683
Western Armenia,2019-06-09,1487.8052577614283
Mozambique,2026-01-05,1487.1298249655542
Hmong,2023-08-08,1486.294452794249
South Ossetia,2019-12-08,1486.222952198044
Republic of St. Pauli,2006-06-03,1486.1193594537685
Székely Land,2023-07-02,1484.6947390025348
North Korea,2025-06-10,1484.3532864179024
Niue,1983-08-22,1483.4565893751949
South Yemen,1982-11-25,1482.3778668798711
Gozo,2025-07-17,1482.132235998632
Shetland,2025-07-17,1481.0831787753623
Kabylia,2018-06-09,1480.9272861479192
Chechnya,2006-02-18,1480.5925959947813
Aymara,2022-06-19,1480.2955217453048
Guadeloupe,2025-06-24,1479.8897172938894
Zanzibar,2025-01-13,1479.1367949990579
Monaco,2017-04-29,1477.6130013549418
Romani people,2016-05-16,1477.0342420872698
Kazakhstan,2026-03-31,1475.51149623461
Kenya,2026-03-30,1474.849517986909
El Salvador,2026-03-29,1473.5912598432137
Madagascar,2026-03-31,1473.2240698548192
Palau,1998-08-01,1473.1961165501482
Găgăuzia,2006-11-21,1470.7806431528938
Ticino,2023-08-06,1469.5792257200317
Manchukuo,1942-08-09,1468.3785396460028
Sápmi,2023-07-16,1468.3005281589315
North Vietnam,1970-09-20,1467.7731583171508
Fiji,2025-11-20,1466.4837299216513
Western Isles,2025-07-17,1466.1354793618998
Marshall Islands,2025-08-16,1465.6601636735347
Comoros,2026-03-31,1465.5089384976895
Papua New Guinea,2025-11-23,1464.4434172994277
Saarland,1956-06-06,1463.4689312314056
Martinique,2026-03-29,1463.2505926914698
Equatorial Guinea,2026-03-31,1462.1902617068242
Togo,2026-03-31,1461.8418654489176
Gotland,2017-06-29,1460.4787294473301
Sark,2003-07-03,1460.1052798356986
Vanuatu,2025-11-23,1458.2099177095533
Tajikistan,2025-11-18,1458.033330385386
Provence,2013-02-13,1457.5446922059182
Kyrgyzstan,2026-03-28,1456.7596807728742
Rwanda,2026-03-30,1456.2349462603793
Vatican City,2019-03-23,1455.3836061413185
Sudan,2026-01-03,1453.185288211557
Dominican Republic,2026-03-29,1452.9148269523175
Two Sicilies,2023-07-02,1452.6869358599333
Ambazonia,2007-06-07,1451.9771123621836
Barawa,2019-05-25,1450.1605815376538
Armenia,2026-03-29,1450.1557158006317
Saint Barthélemy,2023-03-10,1449.9558557686923
Niger,2026-03-31,1449.8629707571833
Greenland,2024-06-01,1448.6084284474696
Nicaragua,2026-03-27,1448.4836164538187
Guyana,2026-03-30,1446.5654900780899
Micronesia,2003-07-07,1444.4251005629196
Sierra Leone,2026-03-30,1444.1047004081092
Orkney,2025-07-17,1443.1701292445437
Luxembourg,2025-11-17,1440.3546022585508
Mayotte,2023-08-26,1439.4565308893189
Zimbabwe,2026-03-28,1439.1528275305059
Raetia,2023-08-06,1438.5626657579219
Mauritania,2026-03-27,1438.196395829833
Lebanon,2025-11-26,1436.5468016342077
Darfur,2014-06-07,1435.9151960182976
French Guiana,2024-11-19,1435.7406859028938
Western Australia,1980-11-25,1433.4872819739353
Saint Helena,2023-07-13,1431.476172744233
Saint Pierre and Miquelon,2012-09-28,1430.854039129943
Malawi,2026-03-31,1429.1421562964968
Chagos Islands,2019-12-29,1424.9892565783132
Tanzania,2026-03-29,1423.391888663452
Azerbaijan,2026-03-30,1423.1093747819505
Solomon Islands,2026-03-30,1419.8049251709076
Namibia,2026-03-28,1419.2012565352215
Hitra,2025-07-17,1418.1764458421815
Vietnam Republic,1975-03-23,1414.8419252902845
Estonia,2026-03-30,1411.8119792358882
Yemen DPR,1989-11-05,1408.2038863600808
Botswana,2026-03-31,1406.632861518706
Liberia,2026-03-31,1406.2910645679515
Kiribati,2011-09-05,1404.8567496481778
Turkmenistan,2025-11-18,1404.3723295020777
Ethiopia,2025-10-12,1395.8901120111534
Burundi,2025-10-14,1394.383738657206
Faroe Islands,2026-03-28,1391.534631494228
Wallis Islands and Futuna,1995-08-20,1390.044254084465
Cuba,2026-03-29,1388.8442067745675
Cyprus,2026-03-30,1386.3705114124584
Lesotho,2025-11-18,1384.5486360126913
Saare County,2017-06-29,1384.3285417714558
Guinea-Bissau,2026-03-31,1381.3174183709364
Tibet,2023-08-06,1379.7890334127555
Puerto Rico,2026-03-28,1375.6344943304475
Saint Vincent and the Grenadines,2026-03-29,1374.1013291890997
Singapore,2025-11-18,1372.2899291990097
Hong Kong,2025-11-18,1370.8185046561102
Congo,2025-10-14,1370.8000670911856
Bermuda,2026-03-25,1369.8964984239203
Latvia,2025-11-16,1368.2642666698105
Central African Republic,2025-10-12,1367.2638531402888
Philippines,2025-11-18,1364.3320122907328
Lithuania,2026-03-29,1363.0289873859654
Malta,2025-11-17,1361.7324894045591
Tuvalu,2023-11-30,1353.714555477826
Sint Maarten,2026-03-30,1352.849029188219
Saint Kitts and Nevis,2026-03-30,1348.7212682455536
Falkland Islands,2023-07-13,1348.4940964798977
Frøya,2025-07-17,1338.922873972805
Grenada,2026-03-30,1334.330392590071
Moldova,2026-03-30,1333.3472287432473
India,2025-11-18,1330.7276387499162
Yemen,2025-11-26,1327.73566725825
Belize,2026-03-30,1326.3216035854914
Samoa,2024-11-18,1322.4725585307524
Eswatini,2025-10-13,1318.367262695234
Saint Lucia,2026-03-27,1317.3576827554632
Montserrat,2025-06-10,1313.4551065025034
Bonaire,2026-03-29,1312.8415889856788
South Sudan,2025-11-25,1304.7954688925481
Saint Martin,2026-03-29,1299.9720789900891
Chad,2025-11-17,1291.8045464579193
Eritrea,2019-09-10,1284.1783572435847
Cook Islands,2024-09-06,1282.178904666244
Antigua and Barbuda,2025-11-18,1274.913814427759
Afghanistan,2025-10-14,1269.4737601181334
Aruba,2026-03-29,1263.3541886174107
Dominica,2026-03-30,1257.599318620479
Mauritius,2025-10-13,1256.4936889410662
Myanmar,2025-10-14,1248.1739386524077
Barbados,2026-03-29,1236.867140058979
Tonga,2024-09-09,1235.844868537278
São Tomé and Príncipe,2025-10-13,1233.0790583609999
Turks and Caicos Islands,2025-08-16,1232.4818444288655
Northern Mariana Islands,2024-04-07,1229.5473380694632
Bangladesh,2026-03-26,1229.5152193340987
Cayman Islands,2026-03-29,1223.3644332128413
Gibraltar,2025-11-17,1205.6704922525034
Nepal,2025-11-18,1202.118560757881
Taiwan,2025-11-18,1187.2998057140585
Alderney,2022-04-23,1183.2014404000377
Andorra,2026-03-31,1182.9439327126968
American Samoa,2026-03-28,1181.2396320447021
Bahamas,2026-03-29,1174.1442800824807
Maldives,2025-11-18,1164.0448102376258
Cambodia,2025-11-13,1163.7230731748946
Somalia,2025-11-26,1153.3748106556905
United States Virgin Islands,2026-03-28,1153.2436942420122
Djibouti,2025-11-26,1149.2244215817007
Mongolia,2024-12-11,1144.8713530398618
Sri Lanka,2025-11-18,1141.6305750161512
Guam,2026-03-28,1141.5795913256995
British Virgin Islands,2026-03-29,1140.586584466287
Liechtenstein,2026-03-29,1122.196784763784
Pakistan,2025-11-18,1122.0935634435766
Seychelles,2025-10-14,1113.509494298599
Laos,2025-11-19,1112.4206068262129
Anguilla,2026-03-29,1083.39808000882
Brunei,2025-11-18,1074.4850790615692
Bhutan,2025-11-18,1037.6376622336413
Timor-Leste,2025-11-18,1037.183850878632
Macau,2026-03-29,1030.9436679510636
San Marino,2026-03-31,1009.5061189341216
